Meta data,,,
Physical channel,Start Time,Sample Interval,Sample Count
Channel 0 (PXI1Slot3/0),-0.845489298,0.00001691,100000
Channel 1 (PXI1Slot3/1),-0.845489298,0.00001691,100000
,,,
Data,,,
Channel 0,Channel 1,Time,
0.061438968,0.103721595,-0.845489298,
0.043873349,0.098011226,-0.845472388,
0.035766141,0.102377979,-0.845455478,
0.037117342,0.102042075,-0.845438568,
0.031712536,0.103721595,-0.845421658,
0.020902925,0.095323993,-0.845404748,
0.019551723,0.095659897,-0.845387838,
0.010093313,0.100698458,-0.845370928,
-0.000716298,0.099690746,-0.845354018,
-0.004769902,0.107416541,-0.845337108,
0.003337306,0.095659897,-0.845320198,
-0.0020675,0.098011226,-0.845303288,
-0.0020675,0.099690746,-0.845286378,
-0.014228313,0.091293144,-0.845269468,
-0.025037924,0.09834713,-0.845252558,
-0.027740327,0.099354842,-0.845235648,
-0.019633118,0.102377979,-0.845218738,
-0.03044273,0.093980376,-0.845201828,
-0.034496334,0.09834713,-0.845184918,
-0.042603543,0.098011226,-0.845168008,
-0.050710751,0.092972664,-0.845151098,
-0.048008349,0.106072924,-0.845134188,
-0.048008349,0.099690746,-0.845117278,
-0.07773478,0.103385691,-0.845100368,
-0.069627572,0.105065212,-0.845083458,
-0.07773478,0.104729308,-0.845066548,
-0.070978773,0.09834713,-0.845049638,
-0.084490788,0.100698458,-0.845032728,
-0.088544392,0.099690746,-0.845015818,
-0.081788385,0.103385691,-0.844998908,
-0.112866018,0.099690746,-0.844981998,
-0.099354003,0.102042075,-0.844965088,
-0.099354003,0.099690746,-0.844948178,
-0.103407608,0.093980376,-0.844931268,
-0.120973226,0.094316281,-0.844914358,
-0.108812413,0.100698458,-0.844897448,
-0.133134039,0.099690746,-0.844880538,
-0.115568421,0.088605911,-0.844863628,
-0.130431637,0.099690746,-0.844846718,
-0.129080435,0.102042075,-0.844829808,
-0.135836442,0.102377979,-0.844812898,
-0.141241248,0.095323993,-0.844795988,
-0.139890047,0.105065212,-0.844779078,
-0.142592449,0.099354842,-0.844762168,
-0.169616478,0.097003513,-0.844745258,
-0.162860471,0.096667609,-0.844728348,
-0.192586903,0.101034363,-0.844711438,
-0.157455665,0.099354842,-0.844694528,
-0.168265277,0.101034363,-0.844677618,
-0.169616478,0.100698458,-0.844660708,
-0.18042609,0.09834713,-0.844643798,
-0.173670083,0.103385691,-0.844626888,
-0.193938104,0.109096061,-0.844609978,
-0.195289306,0.09263676,-0.844593068,
-0.1898845,0.097003513,-0.844576158,
-0.192586903,0.096667609,-0.844559248,
-0.185830896,0.099690746,-0.844542338,
-0.191235701,0.100698458,-0.844525428,
-0.214206126,0.103721595,-0.844508518,
-0.210152522,0.102042075,-0.844491608,
-0.216908529,0.101034363,-0.844474698,
-0.20880132,0.09263676,-0.844457788,
-0.210152522,0.099690746,-0.844440878,
-0.22771814,0.104729308,-0.844423968,
-0.215557327,0.092972664,-0.844407058,
-0.245283759,0.096667609,-0.844390148,
-0.223664536,0.101034363,-0.844373238,
-0.219610932,0.103385691,-0.844356328,
-0.242581356,0.09834713,-0.844339418,
-0.234474147,0.098011226,-0.844322508,
-0.235825349,0.09834713,-0.844305598,
-0.241230155,0.098011226,-0.844288688,
-0.158806867,0.097003513,-0.844271778,
-0.158806867,0.100698458,-0.844254868,
-0.243932558,0.097003513,-0.844237958,
-0.247986162,0.102042075,-0.844221048,
-0.24663496,0.092972664,-0.844204138,
-0.270956586,0.09263676,-0.844187228,
-0.258795773,0.102377979,-0.844170318,
-0.266902982,0.104729308,-0.844153408,
-0.277712594,0.095659897,-0.844136498,
-0.289873407,0.096667609,-0.844119588,
-0.284468601,0.103721595,-0.844102678,
-0.280414996,0.106072924,-0.844085768,
-0.279063795,0.099690746,-0.844068858,
-0.277712594,0.104729308,-0.844051948,
-0.304736622,0.105065212,-0.844035038,
-0.287171004,0.100698458,-0.844018128,
-0.299331817,0.103721595,-0.844001218,
-0.285819802,0.100698458,-0.843984308,
-0.288522205,0.102377979,-0.843967398,
-0.304736622,0.095323993,-0.843950488,
-0.327707047,0.095659897,-0.843933578,
-0.293927011,0.100698458,-0.843916668,
-0.303385421,0.095659897,-0.843899758,
-0.30203422,0.102042075,-0.843882848,
-0.31149263,0.109096061,-0.843865938,
-0.316897435,0.096667609,-0.843849028,
-0.319599838,0.099690746,-0.843832118,
-0.315546234,0.096667609,-0.843815208,
-0.312843831,0.102377979,-0.843798298,
-0.353379874,0.096667609,-0.843781388,
-0.329058248,0.095659897,-0.843764478,
-0.323653443,0.100698458,-0.843747568,
-0.352028673,0.102377979,-0.843730658,
-0.338516658,0.098011226,-0.843713748,
-0.322302241,0.101034363,-0.843696838,
-0.346623867,0.098011226,-0.843679928,
-0.346623867,0.109096061,-0.843663018,
-0.350677471,0.103385691,-0.843646108,
-0.342570263,0.094316281,-0.843629198,
-0.345272666,0.099354842,-0.843612288,
-0.343921464,0.094316281,-0.843595378,
-0.353379874,0.103385691,-0.843578468,
-0.350677471,0.106408828,-0.843561558,
-0.356082277,0.096667609,-0.843544648,
-0.361487083,0.099690746,-0.843527738,
-0.36824309,0.099354842,-0.843510828,
-0.369594292,0.094316281,-0.843493918,
-0.369594292,0.09263676,-0.843477008,
-0.362838284,0.101034363,-0.843460098,
-0.372296694,0.104729308,-0.843443188,
-0.402023126,0.099690746,-0.843426278,
-0.389862313,0.09263676,-0.843409368,
-0.376350299,0.099690746,-0.843392458,
-0.372296694,0.095323993,-0.843375548,
-0.372296694,0.099690746,-0.843358638,
-0.385808709,0.099354842,-0.843341728,
-0.411481536,0.09834713,-0.843324818,
-0.376350299,0.099354842,-0.843307908,
-0.403374328,0.101034363,-0.843290998,
-0.383106306,0.100698458,-0.843274088,
-0.399320723,0.094316281,-0.843257178,
-0.411481536,0.107416541,-0.843240268,
-0.388511112,0.092972664,-0.843223358,
-0.389862313,0.098011226,-0.843206448,
-0.404725529,0.09834713,-0.843189538,
-0.402023126,0.098011226,-0.843172628,
-0.392564716,0.106408828,-0.843155718,
-0.388511112,0.106072924,-0.843138808,
-0.406076731,0.095659897,-0.843121898,
-0.410130335,0.096667609,-0.843104988,
-0.416886342,0.102377979,-0.843088078,
-0.415535141,0.100698458,-0.843071168,
-0.403374328,0.103721595,-0.843054258,
-0.407427932,0.093980376,-0.843037348,
-0.412832738,0.101034363,-0.843020438,
-0.416886342,0.099354842,-0.843003528,
-0.410130335,0.102377979,-0.842986618,
-0.420939946,0.102042075,-0.842969708,
-0.412832738,0.095659897,-0.842952798,
-0.412832738,0.099354842,-0.842935888,
-0.439856767,0.092972664,-0.842918978,
-0.415535141,0.098011226,-0.842902068,
-0.416886342,0.102377979,-0.842885158,
-0.426344752,0.093980376,-0.842868248,
-0.431749558,0.106408828,-0.842851338,
-0.418237543,0.104729308,-0.842834428,
-0.427695954,0.105065212,-0.842817518,
-0.416886342,0.098011226,-0.842800608,
-0.429047155,0.101034363,-0.842783698,
-0.429047155,0.096667609,-0.842766788,
-0.434451961,0.092972664,-0.842749878,
-0.441207968,0.102042075,-0.842732968,
-0.435803162,0.095659897,-0.842716058,
-0.430398356,0.099354842,-0.842699148,
-0.441207968,0.09834713,-0.842682238,
-0.438505565,0.099354842,-0.842665328,
