Meta data,,,
Physical channel,Start Time,Sample Interval,Sample Count
Channel 0 (PXI1Slot3/0),-0.845488889,0.00001691,100000
Channel 1 (PXI1Slot3/1),-0.845488889,0.00001691,100000
,,,
Data,,,
Channel 0,Channel 1,Time,
-0.203396514,0.09834713,-0.845488889,
-0.216908529,0.093980376,-0.845471979,
-0.207450119,0.103721595,-0.845455069,
-0.203396514,0.100698458,-0.845438159,
-0.225015737,0.092972664,-0.845421249,
-0.197991709,0.093980376,-0.845404339,
-0.211503723,0.099690746,-0.845387429,
-0.191235701,0.096667609,-0.845370519,
-0.21825973,0.094316281,-0.845353609,
-0.196640507,0.099354842,-0.845336699,
-0.195289306,0.103721595,-0.845319789,
-0.204747716,0.099354842,-0.845302879,
-0.1898845,0.101034363,-0.845285969,
-0.183128493,0.095323993,-0.845269059,
-0.184479694,0.099690746,-0.845252149,
-0.168265277,0.098011226,-0.845235239,
-0.184479694,0.097003513,-0.845218329,
-0.183128493,0.106072924,-0.845201419,
-0.169616478,0.099690746,-0.845184509,
-0.183128493,0.098011226,-0.845167599,
-0.17096768,0.097003513,-0.845150689,
-0.160158068,0.096667609,-0.845133779,
-0.183128493,0.097003513,-0.845116869,
-0.192586903,0.100698458,-0.845099959,
-0.179074888,0.099690746,-0.845083049,
-0.15205086,0.100698458,-0.845066139,
-0.157455665,0.095659897,-0.845049229,
-0.146646054,0.100698458,-0.845032319,
-0.169616478,0.095659897,-0.845015409,
-0.150699658,0.100698458,-0.844998499,
-0.154753262,0.101034363,-0.844981589,
-0.146646054,0.102042075,-0.844964679,
-0.127729234,0.105065212,-0.844947769,
-0.130431637,0.087262294,-0.844930859,
-0.130431637,0.102377979,-0.844913949,
-0.134485241,0.104729308,-0.844897039,
-0.131782838,0.105065212,-0.844880129,
-0.146646054,0.099354842,-0.844863219,
-0.138538845,0.103721595,-0.844846309,
-0.122324428,0.100698458,-0.844829399,
-0.126378032,0.095659897,-0.844812489,
-0.122324428,0.093980376,-0.844795579,
-0.119622025,0.101034363,-0.844778669,
-0.110163615,0.100698458,-0.844761759,
-0.126378032,0.103721595,-0.844744849,
-0.133134039,0.102042075,-0.844727939,
-0.119622025,0.09834713,-0.844711029,
-0.107461212,0.098011226,-0.844694119,
-0.114217219,0.099690746,-0.844677209,
-0.104758809,0.089949527,-0.844660299,
-0.115568421,0.099690746,-0.844643389,
-0.092597996,0.100698458,-0.844626479,
-0.110163615,0.101034363,-0.844609569,
-0.081788385,0.096667609,-0.844592659,
-0.072329975,0.105065212,-0.844575749,
-0.099354003,0.091293144,-0.844558839,
-0.070978773,0.105065212,-0.844541929,
-0.065573967,0.099354842,-0.844525019,
-0.062871564,0.103721595,-0.844508109,
-0.091246795,0.091293144,-0.844491199,
-0.060169162,0.099690746,-0.844474289,
-0.065573967,0.093980376,-0.844457379,
-0.061520363,0.102377979,-0.844440469,
-0.046657147,0.100698458,-0.844423559,
-0.07773478,0.092972664,-0.844406649,
-0.045305946,0.102042075,-0.844389739,
