Meta data,,,
Physical channel,Start Time,Sample Interval,Sample Count
Channel 0 (PXI1Slot3/0),-0.84549746,0.00001691,100000
Channel 1 (PXI1Slot3/1),-0.84549746,0.00001691,100000
,,,
Data,,,
Channel 0,Channel 1,Time,
-0.215557327,0.095323993,-0.84549746,
-0.245283759,0.097003513,-0.84548055,
-0.23717655,0.103385691,-0.84546364,
-0.253390968,0.101034363,-0.84544673,
-0.245283759,0.099354842,-0.84542982,
-0.229069342,0.101034363,-0.84541291,
-0.254742169,0.093980376,-0.845396,
-0.238527752,0.101034363,-0.84537909,
-0.239878953,0.098011226,-0.84536218,
-0.257444572,0.099690746,-0.84534527,
-0.238527752,0.099354842,-0.84532836,
-0.257444572,0.092972664,-0.84531145,
-0.245283759,0.103385691,-0.84529454,
-0.268254184,0.097003513,-0.84527763,
-0.262849378,0.099354842,-0.84526072,
-0.241230155,0.102377979,-0.84524381,
-0.235825349,0.100698458,-0.8452269,
-0.266902982,0.09834713,-0.84520999,
-0.243932558,0.087262294,-0.84519308,
-0.24663496,0.097003513,-0.84517617,
-0.266902982,0.099354842,-0.84515926,
-0.262849378,0.095659897,-0.84514235,
-0.249337363,0.100698458,-0.84512544,
-0.257444572,0.091629048,-0.84510853,
-0.270956586,0.106072924,-0.84509162,
-0.265551781,0.099690746,-0.84507471,
-0.245283759,0.095323993,-0.8450578,
-0.266902982,0.09834713,-0.84504089,
-0.254742169,0.102042075,-0.84502398,
-0.242581356,0.09834713,-0.84500707,
-0.258795773,0.095323993,-0.84499016,
-0.247986162,0.099690746,-0.84497325,
-0.247986162,0.096667609,-0.84495634,
-0.24663496,0.091629048,-0.84493943,
-0.268254184,0.096667609,-0.84492252,
-0.281766198,0.091629048,-0.84490561,
-0.250688565,0.098011226,-0.8448887,
-0.256093371,0.102377979,-0.84487179,
-0.257444572,0.100698458,-0.84485488,
-0.256093371,0.102377979,-0.84483797,
-0.242581356,0.102042075,-0.84482106,
-0.239878953,0.09834713,-0.84480415,
-0.247986162,0.096667609,-0.84478724,
-0.261498176,0.097003513,-0.84477033,
-0.258795773,0.103385691,-0.84475342,
-0.280414996,0.097003513,-0.84473651,
-0.269605385,0.099354842,-0.8447196,
-0.265551781,0.101034363,-0.84470269,
-0.293927011,0.104729308,-0.84468578,
-0.280414996,0.091629048,-0.84466887,
-0.293927011,0.103385691,-0.84465196,
-0.273658989,0.090285431,-0.84463505,
-0.304736622,0.102042075,-0.84461814,
-0.276361392,0.09834713,-0.84460123,
-0.283117399,0.095323993,-0.84458432,
-0.276361392,0.099690746,-0.84456741,
-0.289873407,0.104729308,-0.8445505,
