Meta data,,,
Physical channel,Start Time,Sample Interval,Sample Count
Channel 0 (PXI1Slot3/0),-2.114461085,0.00004229,100000
Channel 1 (PXI1Slot3/1),-2.114461085,0.00004229,100000
,,,
Data,,,
Channel 0,Channel 1,Time,
-0.418237543,0.105065212,-2.114461085,
-0.435803162,0.096667609,-2.114418795,
-0.419588745,0.095659897,-2.114376505,
-0.437154364,0.099354842,-2.114334215,
-0.434451961,0.095659897,-2.114291925,
-0.422291148,0.104729308,-2.114249635,
-0.415535141,0.106408828,-2.114207345,
-0.435803162,0.099354842,-2.114165055,
-0.423642349,0.101034363,-2.114122765,
-0.431749558,0.102042075,-2.114080475,
-0.415535141,0.103721595,-2.114038185,
-0.447963975,0.100698458,-2.113995895,
-0.430398356,0.088941815,-2.113953605,
-0.419588745,0.098011226,-2.113911315,
-0.419588745,0.101034363,-2.113869025,
-0.422291148,0.106072924,-2.113826735,
-0.414183939,0.103721595,-2.113784445,
-0.411481536,0.093980376,-2.113742155,
-0.429047155,0.09834713,-2.113699865,
-0.443910371,0.100698458,-2.113657575,
-0.433100759,0.095659897,-2.113615285,
-0.416886342,0.104729308,-2.113572995,
-0.414183939,0.09834713,-2.113530705,
-0.410130335,0.098011226,-2.113488415,
-0.410130335,0.101034363,-2.113446125,
-0.415535141,0.098011226,-2.113403835,
-0.407427932,0.09834713,-2.113361545,
-0.449315177,0.100698458,-2.113319255,
-0.422291148,0.099690746,-2.113276965,
-0.433100759,0.09263676,-2.113234675,
-0.415535141,0.103721595,-2.113192385,
-0.429047155,0.102042075,-2.113150095,
-0.433100759,0.106408828,-2.113107805,
-0.422291148,0.096667609,-2.113065515,
-0.403374328,0.105065212,-2.113023225,
-0.407427932,0.098011226,-2.112980935,
-0.411481536,0.09834713,-2.112938645,
-0.407427932,0.098011226,-2.112896355,
-0.416886342,0.102377979,-2.112854065,
-0.402023126,0.100698458,-2.112811775,
-0.415535141,0.106408828,-2.112769485,
-0.420939946,0.099354842,-2.112727195,
-0.419588745,0.099690746,-2.112684905,
-0.412832738,0.099354842,-2.112642615,
-0.426344752,0.103721595,-2.112600325,
-0.431749558,0.093980376,-2.112558035,
-0.415535141,0.094316281,-2.112515745,
-0.422291148,0.103385691,-2.112473455,
-0.419588745,0.101034363,-2.112431165,
-0.423642349,0.104729308,-2.112388875,
-0.439856767,0.09834713,-2.112346585,
-0.434451961,0.099354842,-2.112304295,
-0.420939946,0.103721595,-2.112262005,
-0.439856767,0.100698458,-2.112219715,
-0.423642349,0.095659897,-2.112177425,
-0.447963975,0.099354842,-2.112135135,
-0.423642349,0.106408828,-2.112092845,
-0.439856767,0.100698458,-2.112050555,
-0.422291148,0.101034363,-2.112008265,
-0.434451961,0.096667609,-2.111965975,
-0.422291148,0.101034363,-2.111923685,
-0.434451961,0.099354842,-2.111881395,
-0.416886342,0.097003513,-2.111839105,
-0.423642349,0.099354842,-2.111796815,
-0.420939946,0.097003513,-2.111754525,
-0.441207968,0.096667609,-2.111712235,
-0.435803162,0.094316281,-2.111669945,
-0.429047155,0.103385691,-2.111627655,
-0.445261572,0.105065212,-2.111585365,
-0.415535141,0.098011226,-2.111543075,
-0.414183939,0.092972664,-2.111500785,
-0.416886342,0.104729308,-2.111458495,
-0.415535141,0.101034363,-2.111416205,
-0.424993551,0.102042075,-2.111373915,
-0.412832738,0.097003513,-2.111331625,
-0.418237543,0.102042075,-2.111289335,
-0.433100759,0.099690746,-2.111247045,
-0.435803162,0.100698458,-2.111204755,
-0.430398356,0.101034363,-2.111162465,
-0.407427932,0.095323993,-2.111120175,
-0.412832738,0.101034363,-2.111077885,
-0.404725529,0.107416541,-2.111035595,
-0.426344752,0.101034363,-2.110993305,
-0.446612774,0.104729308,-2.110951015,
-0.423642349,0.099690746,-2.110908725,
-0.419588745,0.100698458,-2.110866435,
-0.418237543,0.099690746,-2.110824145,
-0.410130335,0.106072924,-2.110781855,
-0.406076731,0.09834713,-2.110739565,
-0.423642349,0.096667609,-2.110697275,
-0.427695954,0.106408828,-2.110654985,
-0.427695954,0.096667609,-2.110612695,
-0.408779133,0.095659897,-2.110570405,
-0.410130335,0.104729308,-2.110528115,
-0.39661832,0.099690746,-2.110485825,
-0.415535141,0.106072924,-2.110443535,
-0.39661832,0.099690746,-2.110401245,
-0.411481536,0.104729308,-2.110358955,
-0.393915918,0.095659897,-2.110316665,
-0.420939946,0.104729308,-2.110274375,
-0.415535141,0.095659897,-2.110232085,
-0.407427932,0.102042075,-2.110189795,
-0.411481536,0.102377979,-2.110147505,
-0.411481536,0.103385691,-2.110105215,
-0.415535141,0.101034363,-2.110062925,
-0.418237543,0.100698458,-2.110020635,
-0.415535141,0.092972664,-2.109978345,
-0.414183939,0.11144739,-2.109936055,
-0.418237543,0.09834713,-2.109893765,
-0.433100759,0.102042075,-2.109851475,
-0.411481536,0.099690746,-2.109809185,
-0.429047155,0.098011226,-2.109766895,
-0.415535141,0.102377979,-2.109724605,
-0.418237543,0.106072924,-2.109682315,
-0.406076731,0.099690746,-2.109640025,
-0.416886342,0.102042075,-2.109597735,
-0.410130335,0.099690746,-2.109555445,
-0.414183939,0.098011226,-2.109513155,
-0.427695954,0.101034363,-2.109470865,
-0.412832738,0.103385691,-2.109428575,
-0.439856767,0.103721595,-2.109386285,
-0.420939946,0.099354842,-2.109343995,
-0.397969522,0.097003513,-2.109301705,
