Meta data,,,
Physical channel,Start Time,Sample Interval,Sample Count
Channel 0 (PXI1Slot5/0),0.036739773,0.00001574,100000
,,,
Data,,,
Channel 0,Time,,
-0.407899836,0.036739773,,
-0.40639158,0.036755513,,
-0.406802922,0.036771253,,
-0.404609095,0.036786993,,
-0.404334866,0.036802733,,
-0.403649295,0.036818473,,
-0.40282661,0.036834213,,
-0.401181239,0.036849953,,
-0.399672983,0.036865693,,
-0.397616269,0.036881433,,
-0.397890498,0.036897173,,
-0.395833784,0.036912913,,
-0.395422442,0.036928653,,
-0.394462642,0.036944393,,
-0.393502842,0.036960133,,
-0.393639957,0.036975873,,
-0.391857472,0.036991613,,
-0.38952653,0.037007353,,
-0.390349215,0.037023093,,
-0.38856673,0.037038833,,
-0.387058474,0.037054573,,
-0.386510017,0.037070313,,
-0.385687331,0.037086053,,
-0.384316189,0.037101793,,
-0.383767732,0.037117533,,
-0.381711019,0.037133273,,
-0.382670818,0.037149013,,
-0.379928534,0.037164753,,
-0.378283163,0.037180493,,
-0.378968734,0.037196233,,
-0.375815107,0.037211973,,
-0.375540879,0.037227713,,
-0.374032622,0.037243453,,
-0.373347051,0.037259193,,
-0.372113023,0.037274933,,
-0.371153223,0.037290673,,
-0.370056309,0.037306413,,
-0.367039796,0.037322153,,
-0.367862482,0.037337893,,
-0.367176911,0.037353633,,
-0.365257311,0.037369373,,
-0.363749055,0.037385113,,
-0.362515027,0.037400853,,
-0.361280999,0.037416593,,
-0.359772742,0.037432333,,
-0.360595428,0.037448073,,
-0.357853143,0.037463813,,
-0.357030458,0.037479553,,
-0.35483663,0.037495293,,
-0.354562402,0.037511033,,
-0.353054145,0.037526773,,
-0.351683003,0.037542513,,
-0.351134546,0.037558253,,
-0.349763404,0.037573993,,
-0.347980919,0.037589733,,
-0.347158233,0.037605473,,
-0.346335548,0.037621213,,
-0.343867492,0.037636953,,
-0.342085007,0.037652693,,
-0.342085007,0.037668433,,
-0.340302522,0.037684173,,
-0.339616951,0.037699913,,
-0.33701178,0.037715653,,
-0.336326209,0.037731393,,
-0.334680839,0.037747133,,
-0.331938554,0.037762873,,
-0.332075668,0.037778613,,
-0.330293183,0.037794353,,
-0.329881841,0.037810093,,
-0.328647813,0.037825833,,
-0.327002442,0.037841573,,
-0.326042642,0.037857313,,
-0.324260157,0.037873053,,
-0.323574586,0.037888793,,
-0.321792101,0.037904533,,
-0.319049817,0.037920273,,
-0.317130217,0.037936013,,
-0.31754156,0.037951753,,
-0.315484847,0.037967493,,
-0.314525047,0.037983233,,
-0.312605448,0.037998973,,
-0.312194105,0.038014713,,
-0.310000278,0.038030453,,
-0.307669336,0.038046193,,
-0.305612622,0.038061933,,
-0.306023965,0.038077673,,
-0.303007452,0.038093413,,
-0.302047652,0.038109153,,
-0.300813624,0.038124893,,
-0.298756911,0.038140633,,
-0.295466169,0.038156373,,
-0.296974426,0.038172113,,
-0.294369256,0.038187853,,
-0.292175428,0.038203593,,
